"","x"
"1","3375122"
"2","3375122"
"3","21462400"
"4","21462400"
"5","21462431"
"6","21462431"
"7","21462745"
"8","21462745"
"9","21459377"
"10","21459377"
"11","21459420"
"12","21458404"
"13","21458404"
"14","21465699"
"15","21465699"
"16","21465775"
"17","21465775"
"18","21455175"
"19","21455175"
"20","15529553"
"21","15529553"
"22","15526247"
"23","15526247"
"24","70413142"
"25","70413142"
"26","70413142"
"27","8235640"
"28","8235640"
"29","3375193"
"30","3375193"
"31","3375234"
"32","3375234"
"33","15524315"
"34","15524315"
"35","71626282"
"36","71626282"
"37","21459767"
"38","21459767"
"39","21550944"
"40","21550944"
"41","71272795"
"42","71272795"
"43","21455623"
"44","21455623"
"45","70415524"
"46","70415524"
"47","70415641"
"48","70415641"
"49","8258476"
"50","8258476"
"51","98450054"
"52","98450054"
"53","43281583"
"54","43281583"
"55","43281979"
"56","43281979"
"57","43282201"
"58","43282216"
"59","43282216"
"60","70417786"
"61","70417786"
"62","21573451"
"63","21573451"
"64","43501697"
"65","43501697"
"66","15524336"
"67","15524336"
"68","43282392"
"69","21578027"
"70","21578027"
"71","43280598"
"72","43280598"
"73","43220421"
"74","43220421"
"75","70810300"
"76","70810300"
"77","70810300"
"78","70810320"
"79","70810320"
"80","98510410"
"81","98510410"
"82","573238"
"83","573238"
"84","21551571"
"85","21551571"
"86","21551804"
"87","21551804"
"88","21552007"
"89","21552007"
"90","21552219"
"91","21552219"
"92","21552518"
"93","21552518"
"94","43284384"
"95","43284384"
"96","43284468"
"97","43284468"
"98","15529937"
"99","15529937"
"100","42732156"
"101","42732156"
"102","42732156"
"103","42874376"
"104","42874376"
"105","70810698"
"106","70810698"
"107","70810714"
"108","70810714"
"109","70810842"
"110","70810842"
"111","70810875"
"112","70810875"
"113","98640047"
"114","98640047"
"115","98643110"
"116","98643110"
"117","98589886"
"118","98589886"
"119","1036663125"
"120","1036663125"
"121","1036663125"
"122","22128030"
"123","22128030"
"124","21463348"
"125","21463348"
"126","15530335"
"127","32348790"
"128","32348790"
"129","32491267"
"130","32491267"
"131","32704482"
"132","32704482"
"133","70811204"
"134","70811204"
"135","1017180106"
"136","1017180106"
"137","21463723"
"138","21463723"
"139","15530560"
"140","15530560"
"141","3375616"
"142","3375616"
"143","3376008"
"144","3376008"
"145","43490864"
"146","43490864"
"147","3378286"
"148","3378286"
"149","43284665"
"150","43284665"
"151","15520557"
"152","15520569"
"153","15520569"
"154","15520897"
"155","15520897"
"156","15521025"
"157","15521025"
"158","3376721"
"159","3376721"
"160","3376974"
"161","1027885253"
"162","1027885253"
"163","3355207"
"164","3355207"
"165","3372768"
"166","3372768"
"167","21464282"
"168","21464282"
"169","15530913"
"170","15530913"
"171","15521157"
"172","15521157"
"173","15521433"
"174","15521433"
"175","15521758"
"176","15521758"
"177","3377283"
"178","3377283"
"179","3378169"
"180","3378169"
"181","3510511"
"182","3510511"
"183","4829173"
"184","4829173"
"185","3419810"
"186","3419810"
"187","3567300"
"188","3567300"
"189","718029"
"190","718029"
"191","3419807"
"192","3419807"
"193","4829982"
"194","4829982"
"195","15531325"
"196","15531325"
"197","15531458"
"198","15531587"
"199","15531587"
"200","15531665"
"201","15531665"
"202","15522162"
"203","15522162"
"204","15522281"
"205","15522281"
"206","43285584"
"207","43285584"
"208","43285723"
"209","43285723"
"210","3510788"
